,รายงานเบื้องต้นเดือนกุมภาพันธ์ ปี 2563(P),,,,,,,,,,,,,,,,,,,,,,,,
,จังหวัด,อัตราการเข้าพัก,,,จำนวนผู้เข้าพัก (คน),,,จำนวนผู้เยี่ยมเยือนทั้งหมด (คน),,,จำนวนผู้เยี่ยมเยือนคนไทย (คน),,,จำนวนผู้เยี่ยมเยือนชาวต่างชาติ (คน),,,รายได้จากผู้เยี่ยมเยือน (ล้านบาท),,,รายได้จากผู้เยี่ยมเยือนคนไทย (ล้านบาท),,,รายได้จากผู้เยี่ยมเยือนชาวต่างชาติ (ล้านบาท),,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,2020(P),2019(P),%Change,2020(P),2019(P),%Change,2020(P),2019(P),%Change,2020(P),2019(P),%Change,2020(P),2019(P),%Change,2020(P),2019(P),%Change,2020(P),2019(P),%Change,2020(P),2019(P),%Change
,กรุงเทพมหานคร,55.37,89.18,-33.81,"1,870,329","2,993,454",-37.52,"2,625,522","5,584,421",-52.98,"1,359,097","3,092,214",-56.05,"1,266,425","2,492,207",-49.18,"41,578.03","85,946.44",-51.62," 11,561.99 ","26,256.82",-55.97,"30,016.04","59,689.62",-49.71
,ลพบุรี,52.20,62.83,-10.63,"35,051","41,234",-14.99,"190,373","239,554", - 20.53  ,"188,783","237,679", - 20.57  ,"1,590","1,875", - 15.20  ,347.23,430.38, - 19.32  , 343.36 ,425.91, - 19.38  ,3.87,4.47, - 13.42  
,พระนครศรีอยุธยา,50.54,72.61,-22.07,"70,417","105,917",-33.52,"375,100","650,196", - 42.31  ,"282,929","462,410", - 38.81  ,"92,171","187,786", - 50.92  ,740.23,"1,339.80", - 44.75  , 583.79 ,909.32, - 35.80  ,156.44,430.48, - 63.66  
,สระบุรี,50.91,66.38,-15.47,"62,116","77,300",-19.64,"125,859","181,903", - 30.81  ,"123,787","176,777", - 29.98  ,"2,072","5,126", - 59.58  ,236.96,307.19, - 22.86  , 232.67 ,296.62, - 21.56  ,4.29,10.57, - 59.41  
,ชัยนาท,58.98,77.12,-18.14,"18,283","23,069",-20.75,"54,383","74,022", - 26.53  ,"54,023","73,578", - 26.58  ,360,444, - 18.92  ,71.64,94.13, - 23.89  , 71.04 ,93.41, - 23.95  ,0.60,0.72, - 16.67  
,นครปฐม,60.59,70.38,-9.79,"96,051","107,437",-10.60,"195,745","270,250", - 27.57  ,"187,142","255,002", - 26.61  ,"8,603","15,248", - 43.58  ,301.68,381.66, - 20.96  , 289.29 ,359.39, - 19.51  ,12.39,22.27, - 44.36  
,สิงห์บุรี,54.21,66.72,-12.51,"12,417","14,638",-15.17,"35,266","47,096", - 25.12  ,"35,109","46,911", - 25.16  ,157,185, - 15.14  ,50.77,66.25, - 23.37  , 50.49 ,65.93, - 23.42  ,0.28,0.32, - 12.50  
